id,package,nameJa,nameEn,logoIImage,prJa,prEn,urlJa,urlEn,recruitEn,recruitJa
https://cloud.google.com,Silver,Google Cloud,Google Cloud,cloud_google_com.png,,,,,,
https://jpn.nec.com/,Silver,日本電気株式会社,NEC Corporation,,,,,,,
https://datumstudio.jp/,Silver,DATUM STUDIO株式会社,DATUM STUDIO Co.LTD.,DATUM STUDIO_logo3.png,,,https://datumstudio.jp/,https://datumstudio.jp/,,
https://churadata.okinawa/,Silver,ちゅらデータ株式会社,Chura DATA Inc,churadata_logo_si-sa.png,,,https://churadata.okinawa/,https://churadata.okinawa/,,
https://www.cmscom.jp,Silver,(株)CMSコミュニケーションズ,(株)CMSコミュニケーションズ,cms.png,,,,,,
https://jobhub.co.jp/,Silver,株式会社パソナJOB HUB,株式会社パソナJOB HUB,pasona.png,,,,,,
http://sora.flights/,Silver,株式会社空,株式会社空,sora_logo_large.png,,,,,,
hennge.com,Sprint Sponsor,HENNGE株式会社,HENNGE,hennge_com.png,,,,,,
intimatemerger.com,Water Sponsor,株式会社インティメート・マージャー,"Intimate Merger, Inc.",intimatemerger_com.png,,,https://corp.intimatemerger.com/,,,
brainpad.co.jp_w,Water Sponsor,株式会社ブレインパッド,BrainPad Inc.,brainpad_co_jp.png,,,,,,
beproud.jp2,Tutrial Cooperation,ビープラウド,BeProud,,,,,,,
classmethod,Tutrial Cooperation,クラスメソッド,classmethod,,,,,,,
nvidia,Tutrial Cooperation,NVIDIA,NVIDIA,,,,,,,
